
CO2 (ppm),Temperature (*C),Humidity (%),,Date and Time
710,30.03,37.0, ,2019-06-18T19:29:22.837Z
705,30.18,37.3, ,2019-06-18T19:29:33.863Z
703,30.19,37.3, ,2019-06-18T19:29:45.118Z
702,30.21,37.4, ,2019-06-18T19:29:56.044Z
704,30.27,37.3, ,2019-06-18T19:30:06.873Z
703,30.29,37.2, ,2019-06-18T19:30:17.882Z
702,30.25,37.3, ,2019-06-18T19:30:28.884Z
702,30.31,37.3, ,2019-06-18T19:30:39.894Z
704,30.31,37.3, ,2019-06-18T19:30:50.910Z
703,30.34,37.2, ,2019-06-18T19:31:01.917Z
704,30.32,37.0, ,2019-06-18T19:31:12.922Z
702,30.36,37.0, ,2019-06-18T19:31:23.930Z
703,30.40,37.3, ,2019-06-18T19:31:34.934Z
703,30.36,37.0, ,2019-06-18T19:31:45.946Z
702,30.44,37.0, ,2019-06-18T19:31:57.019Z
702,30.45,37.0, ,2019-06-18T19:32:07.965Z
700,30.45,37.1, ,2019-06-18T19:32:18.982Z
700,30.49,36.9, ,2019-06-18T19:32:29.977Z
701,30.49,36.7, ,2019-06-18T19:32:40.994Z
702,30.52,36.7, ,2019-06-18T19:32:52.047Z
705,30.52,36.7, ,2019-06-18T19:33:03.012Z
703,30.51,36.6, ,2019-06-18T19:33:14.021Z
705,30.51,36.7, ,2019-06-18T19:33:25.027Z
704,30.55,36.9, ,2019-06-18T19:33:36.035Z
706,30.55,37.2, ,2019-06-18T19:33:47.052Z
707,30.56,37.2, ,2019-06-18T19:33:58.067Z
708,30.58,37.0, ,2019-06-18T19:34:09.068Z
708,30.52,37.1, ,2019-06-18T19:34:20.075Z
708,30.55,37.1, ,2019-06-18T19:34:31.082Z
710,30.56,37.2, ,2019-06-18T19:34:42.083Z
711,30.58,37.4, ,2019-06-18T19:34:53.088Z
711,30.61,37.5, ,2019-06-18T19:35:04.098Z
710,30.65,37.2, ,2019-06-18T19:35:15.137Z
709,30.65,37.2, ,2019-06-18T19:35:26.121Z
708,30.66,37.2, ,2019-06-18T19:35:37.129Z
709,30.66,37.1, ,2019-06-18T19:35:48.139Z
708,30.69,37.4, ,2019-06-18T19:35:59.152Z
707,30.67,37.3, ,2019-06-18T19:36:10.154Z
707,30.66,37.1, ,2019-06-18T19:36:21.168Z
707,30.66,37.3, ,2019-06-18T19:36:32.164Z
708,30.67,37.2, ,2019-06-18T19:36:43.186Z
708,30.70,37.2, ,2019-06-18T19:36:54.189Z
708,30.74,37.2, ,2019-06-18T19:37:05.198Z
709,30.73,37.2, ,2019-06-18T19:37:16.210Z
709,30.76,37.3, ,2019-06-18T19:37:27.224Z
709,30.73,37.3, ,2019-06-18T19:37:38.227Z
707,30.77,37.2, ,2019-06-18T19:37:49.235Z
708,30.76,37.1, ,2019-06-18T19:38:00.246Z
707,30.80,37.2, ,2019-06-18T19:38:11.261Z
706,30.77,37.2, ,2019-06-18T19:38:22.254Z
706,30.79,37.1, ,2019-06-18T19:38:33.265Z
705,30.82,37.2, ,2019-06-18T19:38:44.301Z
